CID,CRPName
N00028439,   "Cunningham, Robb"
N00035403,   "Curbelo, Carlos"
N00036755,   "Curtis, Amanda"
N00036549,   "Daggett, Doug"
N00033054,   "Daines, Steven"
N00035879,   "Dale, John"
N00036839,   "Dale, Lawrence"
N00032884,   "Danet, Vincent Emile"
N00032934,   "Dashairya, Bhagwan"
N00036635,   "Dasher, Zach"
N00036719,   "Davenport, Samuel"
N00004884,   "Davis, Danny K"
N00034784,   "Davis, Rodney"
N00009604,   "Davis, Susan A"
N00036162,   "Day, Chris"
N00036464,   "Deakin, Paul"
N00036167,   "Dean, Tim"
N00031038,   "Debicella, Dan"
N00007781,   "DeFazio, Peter"
N00006134,   "DeGette, Diana"
N00033897,   "Delaney, John K"
N00000615,   "DeLauro, Rosa L"
N00030693,   "DelBene, Suzan"
N00036605,   "Delozier, Aaron"
N00035392,   "Demaio, Carl"
N00031593,   "Denham, Jeff"
N00036281,   "Denney, John"
N00035881,   "Denney, Shawn"
N00031180,   "Dennis, John"
N00026171,   "Dent, Charlie"
N00036330,   "Dentley, Yolanda"
N00036285,   "Denton, Courtney"
N00034746,   "DeSantis, Ron"
N00030709,   "Desaulnier, Mark"
N00030957,   "Desjarlais, Scott"
N00031317,   "Deutch, Ted"
N00030321,   "DeWitt, Rebecca"
N00036766,   "Dezarn, Don"
N00036350,   "Di Iorio, Nicholas S"
N00035121,   "Diaz, Antonio"
N00025337,   "Diaz-Balart, Mario"
N00035786,   "Dickerson, Joyce"
N00036550,   "Dickey, Ron"
N00031295,   "Didier, Clint"
N00035374,   "Dietzel, Paul"
N00036860,   "Dilger, Michael J"
N00035877,   "Dill, Josh"
N00036149,   "Dingell, Debbie"
N00001783,   "Dingell, John D"
N00036027,   "Dingethal, Bob"
N00035863,   "Dious, Ken"
N00029460,   "Djou, Charles"
N00036477,   "Doggart, Robert"
N00006023,   "Doggett, Lloyd"
N00035841,   "Doherty, Grant"
N00031103,   "Dold, Bob"
N00034876,   "Dolgos, Stephen"
N00036053,   "Domina, Dave"
N00035401,   "Domino, Carl"
N00034946,   "Donka, Mark"
N00026586,   "Donnelly, Joe"
N00036574,   "Douthitt, Jon"
N00001373,   "Doyle, Mike"
N00033881,   "Drummond, William (Cleave) II"
N00035102,   "Dryer, Norris"
N00027860,   "Duckworth, Tammy"
N00036791,   "Dudikoff, Sydeney"
N00030967,   "Duffy, Sean P"
N00036763,   "Dugas, Lee A"
N00033919,   "Duhon, Maurice"
N00035294,   "Duke, Greg"
N00035550,   "Dunbar, Forrest"
N00030752,   "Duncan, Jeff"
N00003209,   "Duncan, John J Jr"
N00036826,   "Duncan, Vince"
N00035242,   "Dunec, Mark S"
N00036799,   "Dunn, Donna"
N00004981,   "Durbin, Dick"
N00036580,   "Durbin, Sharon"
N00034105,   "Eberly, Eric"
N00035496,   "Eck, Alieta"
N00035299,   "Eckles, Shawn"
N00036014,   "Edmond, Micah"
N00036569,   "Edstrom, William"
N00036508,   "Edwards, Adrienne"
N00028249,   "Edwards, Donna"
N00036269,   "Edwards, Edwin"
N00035313,   "Eggman, Michael"
N00036835,   "Eickholt, Brad A"
N00036283,   "Elder, Daniel"
N00035243,   "Eldridge, Sean"
N00028257,   "Ellison, Keith"
N00031513,   "Ellmers, Renee"
N00036831,   "Else, David A"
N00036434,   "Emerson, Tom Jr"
N00035440,   "Emmer, Tom"
N00001003,   "Engel, Eliot L"
N00035309,   "Enyart, Douglas"
N00034884,   "Enyart, William"
N00006249,   "Enzi, Mike"
N00027434,   "Ericson, Cris"
N00035483,   "Ernst, Joni"
N00007335,   "Eshoo, Anna"
N00036794,   "Esquivel, Samuel"
N00033217,   "Esty, Elizabeth"
N00034408,   "Evans, James S"
N00034687,   "Everett, Earl E"
N00036838,   "Fahrendorf, Gus"
N00007632,   "Faleomavaega, Eni F H"
N00036524,   "Falstad, David B"
N00031672,   "Farenthold, Blake"
N00036055,   "Farr, Joan Elizabeth"
N00007312,   "Farr, Sam"
N00001746,   "Fattah, Chaka"
N00036650,   "Fausz, Elliott"
N00007364,   "Feinstein, Dianne"
N00035731,   "Felder, Cassie"
N00004663,   "Fellows, Mike"
N00035743,   "Fernandez, Jose Luis"
N00035858,   "Fernandez, Luis"
N00031141,   "Fincher, Steve"
N00033443,   "Fischer, Deb"
N00035930,   "Fischer, Jim"
N00027229,   "Fitzpatrick, Michael G"
N00035522,   "Fjeld, Laura"
N00009573,   "Flake, Jeff"
N00030815,   "Fleischmann, Chuck"
N00029679,   "Fleming, John"
N00031545,   "Flores, Bill"
N00013799,   "Forbes, Randy"
N00026631,   "Fortenberry, Jeff"
N00029139,   "Foster, Bill"
N00033960,   "Foster, James"
N00035764,   "Foust, John"
N00035973,   "Fowler, Gerald"
N00036444,   "Fox, Richard"
N00026166,   "Foxx, Virginia"
